,Unnamed: 0,palabra,tamanyo,threshold,distancia,trie,tiempo,media_trie-distancia,mediana_trie-distancia
277,277,ancho,2500,4,d,Yes,0.2038560700000005,0.14543922485713828,0.1647422510000002
278,278,ancho,2500,5,d,Yes,0.2337970100000177,0.2068075802857216,0.2337970100000177
279,279,ancho,2500,7,d,Yes,0.2683843089999982,0.29795511571428845,0.3058405790000051
280,280,ancho,2500,1,l,Yes,0.0431578819999742,0.049144528142858544,0.0452049009999768
281,281,ancho,2500,2,l,Yes,0.0449769340000045,0.05049899814285539,0.0453123169999969
282,282,ancho,2500,4,l,Yes,0.0705349480000165,0.06666967071428963,0.0657183129999996
283,283,ancho,2500,5,l,Yes,0.0752121149999993,0.07583461399999906,0.0752121149999993
284,284,ancho,2500,7,l,Yes,0.0798993630000097,0.0884801364285814,0.0867200220000086
285,285,ancho,2500,1,i,No,0.1117770070000006,0.09780499328572279,0.1058217490000288
286,286,ancho,2500,2,i,No,0.1143539960000055,0.12324766771428787,0.1143539960000055
287,287,ancho,2500,4,i,No,0.1127683640000043,0.1564911132857109,0.1470974649999945
288,288,ancho,2500,5,i,No,0.1128178749999904,0.16575041271427887,0.1460404950000011
289,289,ancho,2500,7,i,No,0.1137636349999979,0.16207079814285685,0.135351925000009
290,290,ancho,2500,1,d,No,0.1137129999999899,0.09535192114286073,0.0978587399999995
291,291,ancho,2500,2,d,No,0.1413587680000034,0.12861248514286527,0.1335843160000251
292,292,ancho,2500,4,d,No,0.1141206770000167,0.15708680542857395,0.1673525969999971
293,293,ancho,2500,5,d,No,0.1141064329999892,0.16163924185714312,0.1337797969999883
294,294,ancho,2500,7,d,No,0.1150185049999947,0.1621737037142877,0.1350942380000219
295,295,ancho,2500,1,l,No,0.1156696989999943,0.09597011199999954,0.1008199760000039
296,296,ancho,2500,2,l,No,0.1156363319999798,0.12687865699999565,0.1156363319999798
297,297,ancho,2500,4,l,No,0.1112424009999983,0.1552885855714284,0.1601828229999995
298,298,ancho,2500,5,l,No,0.1140274880000049,0.1656054675714216,0.1518098090000066
299,299,ancho,2500,7,l,No,0.1161352789999909,0.16741574542856982,0.1554182439999962
300,300,ancho,10000,1,i,Yes,0.1759625560000017,0.1892096510000019,0.1768892370000117
301,301,ancho,10000,2,i,Yes,0.238062205999995,0.23142021428570445,0.201196264999993
302,302,ancho,10000,4,i,Yes,0.8873389260000124,0.6166996132857223,0.7015106599999994
303,303,ancho,10000,5,i,Yes,1.0645061250000083,0.9167993662857146,1.0645061250000083
304,304,ancho,10000,7,i,Yes,1.2113057749999996,1.3483657477142776,1.3871027180000013
305,305,ancho,10000,1,d,Yes,0.1695209880000163,0.18433537057142776,0.1779641630000128
306,306,ancho,10000,2,d,Yes,0.2290720690000114,0.21609823114285498,0.2012405269999959
307,307,ancho,10000,4,d,Yes,0.7645402939999997,0.5414615512857102,0.625845055000001
308,308,ancho,10000,5,d,Yes,0.9225533700000028,0.7995529664285778,0.9225533700000028
